KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-v˝mÏra;Vinice(4)-v˝mÏra;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-v˝mÏra;DOMY_S_CP;STAVBY_S_CE;LV
600806;ZboûÌ;681;6363922;3271046;0;0;67329;0;783047;1773378;44474;64082;360566;50;2;158
600814;BaËkovice;1075;6392302;4417190;0;0;45535;0;363072;1000645;71199;58648;436013;58;1;157
600822;BaËov;433;1729927;1019158;0;0;36611;14909;174977;297737;20776;21539;144220;33;1;96
600831;Bakov nad Jizerou;6176;9169468;5122825;0;0;465232;17384;1305626;315901;272338;453080;1217082;1114;32;1668
600849;Baliny;1289;4887000;700114;0;0;48893;0;1251237;2523211;79687;29979;253879;52;17;131
600857;BanÌn;1315;12929573;6701798;0;0;98154;0;991741;4143742;25901;92712;875525;119;0;211
600865;B·nov;4686;16176870;8034525;0;0;393030;783667;1916310;2669189;272761;366779;1740609;708;0;1490
600873;B·Úovice;457;4790412;3458196;0;0;45390;0;424686;497293;149153;39316;176378;36;0;85
600881;Bantice;657;3763206;3066230;0;106178;77138;0;49229;83879;27877;67803;284872;103;0;192
600890;Barchov;1333;5924887;3583656;0;0;92268;1351;184533;1615148;103059;83496;261376;110;0;204
600903;Barchov u Pardubic;521;4415998;3677047;0;0;116233;12189;230125;93675;26736;75636;184357;83;0;200
600911;Barchovice;917;3483289;2599151;0;0;36716;30206;253207;299982;45543;58986;159498;68;11;168
600920;Hryzely;1195;2803582;1831764;0;0;46462;11077;301792;280357;41381;48847;241902;38;100;245
600938;Radlice u Barchovic;1709;11457372;2775372;0;0;36805;23552;838828;7379541;59267;75047;268960;52;1;178
600946;Barch˘vek;331;1879939;1534660;0;0;38825;10292;5418;169959;7053;35049;78683;51;2;92
600954;BartoÚov;717;2118677;258335;0;0;91461;0;862878;550043;32207;22644;301109;63;2;132
600962;Radomilov;661;1852306;879133;0;0;90448;3449;280411;432630;4629;23817;137789;65;0;116
600971;Bartoöovice;3809;19143033;13176659;0;0;613595;0;1246165;981126;1549861;298645;1276982;398;2;688
600989;Bartoöovice v Orlick˝ch hor·ch;1153;13118498;0;0;0;31093;0;5197997;7132393;304979;64247;387789;76;73;209
